state,abbreviation_us,lat,lon
Alabama,AL,32.361538,-86.279118
Alaska,AK,58.301935,-134.41974
Arizona,AZ,33.448457,-112.073844
Arkansas,AR,34.736009,-92.331122
California,CA,38.555605,-121.468926
Colorado,CO,39.7391667,-104.984167
Connecticut,CT,41.767,-72.677
Delaware,DE,39.161921,-75.526755
Florida,FL,30.4518,-84.27277
Georgia,GA,33.76,-84.39
Hawaii,HI,21.30895,-157.826182
Idaho,ID,43.613739,-116.237651
Illinois,IL,39.78325,-89.650373
Indiana,IN,39.790942,-86.147685
Iowa,IA,41.590939,-93.620866
Kansas,KS,39.04,-95.69
Kentucky,KY,38.197274,-84.86311
Louisiana,LA,30.45809,-91.140229
Maine,ME,44.323535,-69.765261
Maryland,MD,38.972945,-76.501157
Massachusetts,MA,42.2352,-71.0275
Michigan,MI,42.7335,-84.5467
Minnesota,MN,44.95,-93.094
Mississippi,MS,32.32,-90.207
Missouri,MO,38.572954,-92.189283
Montana,MT,46.595805,-112.027031
Nebraska,NE,40.809868,-96.675345
Nevada,NV,39.160949,-119.753877
New_Hampshire,NH,43.220093,-71.549127
New_Jersey,NJ,40.221741,-74.756138
New_Mexico,NM,35.667231,-105.964575
New_York,NY,42.659829,-73.781339
North_Carolina,NC,35.771,-78.638
North_Dakota,ND,48.813343,-100.779004
Ohio,OH,39.962245,-83.000647
Oklahoma,OK,35.482309,-97.534994
Oregon,OR,44.931109,-123.029159
Pennsylvania,PA,40.269789,-76.875613
Rhode_Island,RI,41.82355,-71.422132
South_Carolina,SC,34,-81.035
South_Dakota,SD,44.367966,-100.336378
Tennessee,TN,36.165,-86.784
Texas,TX,30.266667,-97.75
Utah,UT,40.7547,-111.892622
Vermont,VT,44.26639,-72.57194
Virginia,VA,37.54,-77.46
Washington,WA,47.042418,-122.893077
West_Virginia,WV,38.349497,-81.633294
Wisconsin,WI,43.074722,-89.384444
Wyoming,WY,41.145548,-104.802042
